name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Website,wt
QJE,,X,,,X,,,X,,,X,,https://academic.oup.com/qje/issue/,1
AER,X,X,X,X,X,X,X,X,X,X,X,X,https://www.aeaweb.org/journals/aer/issues,1
REStud,X,,,X,,,X,,,X,,,https://academic.oup.com/restud/issue,2
AEJ:Applied,X,,,X,,,X,,,X,,,https://www.aeaweb.org/journals/app/issues,3
AEJ:Policy,,X,,,X,,,X,,,X,,https://www.aeaweb.org/journals/pol/issues,3
REStat,,,X,,X,,X,,,X,,X,https://www.mitpressjournals.org/loi/rest,3
JPE,,X,,X,,X,,X,,X,,X,https://www.journals.uchicago.edu/loi/jpe,3
JAERE,X,,,X,,,X,,,X,,,https://www.journals.uchicago.edu/loi/jaere,4
JEEM,X,,X,,X,,X,,X,,X,,https://www.sciencedirect.com/journal/journal-of-environmental-economics-and-management/issues,4
JPubE,X,X,X,X,X,X,X,X,X,X,X,X,https://www.sciencedirect.com/journal/journal-of-public-economics/issues,5
JEL,,,X,,,X,,,X,,,X,https://www.aeaweb.org/journals/jel/issues,6
JEP,4,,,,,,,,,,,,https://www.aeaweb.org/journals/jep/issues,6
JUE,X,,X,,X,,X,,X,,X,,https://www.sciencedirect.com/journal/journal-of-urban-economics/issues,6
ECMA,X,,X,,X,,X,,X,,X,,https://onlinelibrary.wiley.com/loi/14680262,6
JoLE,X,,,X,,,X,,,X,,,https://www.journals.uchicago.edu/loi/jole,7
Energy Policy,X,X,X,X,X,X,X,X,X,X,X,X,https://www.sciencedirect.com/journal/energy-policy/issues,7
EcPolicy,X,,,X,,,X,,,X,,,https://academic.oup.com/economicpolicy/issue,7
EcLetters,X,X,X,X,X,X,X,X,X,X,X,X,https://www.sciencedirect.com/journal/economics-letters/issues,7
JoE,X,X,X,X,X,X,X,X,X,X,X,X,https://www.journals.elsevier.com/journal-of-econometrics,8
JAE,X,,X,X,,X,,X,X,,X,,https://onlinelibrary.wiley.com/journal/10991255,8
RAND,4,,,,,,,,,,,,https://onlinelibrary.wiley.com/loi/17562171/year/2017,8
JBES,?4,,,,,,,,,,,,https://amstat.tandfonline.com/loi/jbes,8
